# gt_conf,pred_conf,out_dev
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.444444444444444198e-01,0.000000000000000000e+00,4.444444444444444198e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.842105263157894635e-01,2.631578947368420907e-02,2.105263157894736725e-01
4.272727272727272485e-01,0.000000000000000000e+00,4.272727272727272485e-01
3.921568627450980338e-02,0.000000000000000000e+00,3.921568627450980338e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.470588235294117696e-01,0.000000000000000000e+00,1.470588235294117696e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.388888888888888951e-01,0.000000000000000000e+00,1.388888888888888951e-01
9.677419354838709409e-02,0.000000000000000000e+00,9.677419354838709409e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.203883495145631310e-01,0.000000000000000000e+00,3.203883495145631310e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.345794392523364136e-02,1.869158878504672758e-02,9.345794392523364136e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.538461538461538547e-01,0.000000000000000000e+00,1.538461538461538547e-01
1.063829787234042562e-01,0.000000000000000000e+00,1.063829787234042562e-01
1.641791044776119424e-01,0.000000000000000000e+00,1.641791044776119424e-01
3.448275862068965469e-02,0.000000000000000000e+00,3.448275862068965469e-02
3.214285714285714524e-01,0.000000000000000000e+00,3.214285714285714524e-01
4.166666666666666435e-02,0.000000000000000000e+00,4.166666666666666435e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.923076923076923461e-02,0.000000000000000000e+00,6.923076923076923461e-02
1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
1.666666666666666574e-01,0.000000000000000000e+00,1.666666666666666574e-01
1.176470588235294101e-01,5.882352941176470507e-02,5.882352941176470507e-02
2.631578947368420907e-02,0.000000000000000000e+00,2.631578947368420907e-02
4.000000000000000083e-02,5.000000000000000104e-03,4.499999999999999833e-02
1.702127659574468044e-01,0.000000000000000000e+00,1.702127659574468044e-01
8.695652173913043237e-02,4.347826086956521618e-02,1.304347826086956486e-01
1.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.727272727272727071e-01,0.000000000000000000e+00,2.727272727272727071e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.627906976744186163e-01,0.000000000000000000e+00,1.627906976744186163e-01
